AccountID,AnniversaryDate
1,8/13/14
2,5/8/17
3,2/14/12
4,12/10/03
5,11/15/05
6,8/2/03
7,8/2/04
8,11/17/13
9,1/2/02
10,11/10/07
11,8/21/04
12,11/4/14
13,1/2/14
14,9/6/21
15,3/2/05
16,11/18/10
17,3/13/14
18,7/15/07
19,2/21/01
20,6/12/17
21,9/17/16
22,12/31/10
23,2/27/20
24,7/5/16
25,8/30/05
26,2/27/11
27,4/8/21
28,7/24/16
29,6/9/01
30,4/4/06
31,4/18/07
32,3/30/21
33,4/5/13
34,4/28/06
35,7/20/08
36,7/8/03
37,9/23/09
38,4/27/14
39,1/5/11
40,3/5/21
41,11/12/00
42,12/6/08
43,5/25/12
44,10/26/10
45,9/30/16
46,12/15/01
47,7/8/21
48,12/16/02
49,7/6/09
50,1/25/00
51,5/26/20
52,11/27/20
53,7/21/18
54,3/19/09
55,11/13/11
56,2/26/16
57,6/10/20
58,3/14/01
59,12/10/05
60,11/21/14
61,6/28/05
62,5/30/12
63,8/23/07
64,12/20/18
65,4/10/22
66,5/28/14
67,3/23/10
68,2/15/16
69,5/31/07
70,8/30/01
71,7/12/01
72,11/12/18
73,3/4/22
74,12/3/14
75,9/14/00
76,7/19/12
77,8/28/13
78,5/19/12
79,4/5/17
80,3/4/10
81,8/12/12
82,11/10/02
83,1/11/13
84,9/23/02
85,6/4/15
86,2/23/15
87,3/2/21
88,6/22/01
89,4/23/21
90,6/11/04
91,1/14/00
92,10/16/05
93,2/17/12
94,12/22/19
95,10/27/01
96,1/14/08
97,10/17/19
98,10/29/06
99,8/16/09
100,6/20/07
101,7/10/17
102,7/20/16
103,8/30/06
104,1/7/05
105,10/7/07
106,4/25/14
107,2/21/08
108,11/10/10
109,1/16/00
110,4/16/13
111,5/7/06
112,6/30/01
113,5/10/00
114,4/21/20
115,11/9/13
116,2/21/05
117,8/10/07
118,2/3/18
119,1/24/14
120,1/23/15
121,6/21/08
122,2/11/12
123,11/28/01
124,4/7/03
125,9/7/20
126,7/30/17
127,7/31/17
128,8/22/02
129,11/11/18
130,1/16/09
131,3/20/04
132,12/9/11
133,8/18/06
134,2/10/05
135,8/17/05
136,10/13/06
137,2/7/02
138,6/18/01
139,3/18/06
140,8/17/18
